molecule_chembl_id,canonical_smiles,standard_value
CHEMBL308084,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2C(F)(F)F)cc1,27.0
CHEMBL307182,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(Cl)cccc2C(=O)NO)cc1,31.0
CHEMBL311768,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cc(C)ccc2C(=O)NO)cc1,346.0
CHEMBL77237,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2cccc(C)c2C(=O)NO)cc1,440.0
CHEMBL538028,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CN)CC2C(=O)NO)cc1.Cl,157.0
CHEMBL70176,COc1ccc(S(=O)(=O)N(Cc2cccnc2)c2c(C)cccc2C(=O)NO)cc1,5.0
CHEMBL88559,COc1ccc(S(=O)(=O)N2CCCN(C(=O)CNC(=O)OC(C)(C)C)CC2C(=O)NO)cc1,23.0
CHEMBL328255,COc1ccc(S(=O)(=O)N2CCCN(C(=O)C(C)(C)C)CC2C(=O)NO)cc1,4.8
CHEMBL419868,COc1ccc(S(=O)(=O)N2CCCN(Cc3ccccc3)CC2C(=O)NO)cc1,31.0
CHEMBL327442,COc1ccc(S(=O)(=O)N2CCCN(C(=O)c3ccccc3-c3ccccc3)CC2C(=O)NO)cc1,3.3
CHEMBL313168,COc1ccc(S(=O)(=O)N2CCCN(C(=O)Nc3ccccc3)CC2C(=O)NO)cc1,18.0
CHEMBL80300,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(OC(C)(C)C(=O)NO)cccc2C(=O)NO)cc1,4.0
CHEMBL310655,COc1ccc(S(=O)(=O)N2CCCN(C(=O)OC(C)(C)C)CC2C(=O)NO)cc1,9.1
CHEMBL308305,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccccc2C(=O)NO)cc1,650.0
CHEMBL80894,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2c(C(=O)NO)cccc2N(C)C)cc1,64.0
CHEMBL90978,O=C(NO)C1CN(C(=O)c2ccccc2)CCCN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,1.2
CHEMBL80322,COc1ccc(S(=O)(=O)N(Cc2ccccc2)c2ccc(C)cc2C(=O)NO)cc1,353.0
CHEMBL76974,COC(=O)c1cccc(C(=O)NO)c1N(Cc1cccnc1)S(=O)(=O)c1ccc(OC)cc1,6.0
CHEMBL101121,O=C(NO)C(CCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,5.0
CHEMBL297792,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,23.0
CHEMBL103442,O=C(NO)C(CCN1C(=O)c2ccccc2S1(=O)=O)COc1ccc(-c2ccccc2)cc1,16.0
CHEMBL155874,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccc(Br)cc1,2.7
CHEMBL160461,O=C(NO)C(Cc1ccccc1)NS(=O)(=O)c1ccccc1,1000.0
CHEMBL160940,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)s2)cc1,72.0
CHEMBL160153,CSc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc3)n2)cc1,5.9
CHEMBL160232,CSc1ccc(C(=O)Nc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,16.0
CHEMBL157704,COc1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,81.0
CHEMBL298699,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)s2)cc1,14.0
CHEMBL155815,COc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,7800.0
CHEMBL317508,N#Cc1ccc(-c2ccc(OCC(CCn3nnc4ccccc4c3=O)C(=O)NO)cc2)cc1,0.6
CHEMBL157592,O=C(N[C@H](Cc1ccccc1)C(=O)NO)c1ccc(-c2ccccc2)cc1,50000.0
CHEMBL157705,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(Oc2ccccc2)cc1,250.0
CHEMBL345135,O=C(NO)[C@H](Cc1ccccc1)NS(=O)(=O)c1ccccc1,1000000.0
CHEMBL100584,O=C(NO)C(CCn1nnc2ccccc2c1=O)COCCc1ccc(-c2ccc(Cl)cc2)cc1,3.6
CHEMBL155923,O=C(NO)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,5.0
CHEMBL351363,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,180.0
CHEMBL345238,O=C(c1ccccc1)c1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1,10000.0
CHEMBL440921,CSc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,40.0
CHEMBL345597,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1,32.0
CHEMBL349798,COc1cccc(-c2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)c1,1100.0
CHEMBL73115,NCc1nc2cc(NCc3ccccc3OCc3ccccc3)ccc2[nH]1,13000.0
CHEMBL346265,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(-c2nnn(-c3ccc(Br)cc3)n2)cc1,4.1
CHEMBL159013,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,60.0
CHEMBL318795,O=C(NO)C(CCCN1C(=O)c2ccccc2C1=O)COc1ccc(-c2ccccc2)cc1,221.0
CHEMBL49671,O=C(N[C@H](Cc1ccccc1)C(=O)O)c1ccc(-c2ccccc2)cc1,50000.0
CHEMBL348129,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2ccccc2)C(=O)O)cc1)c1ccccc1,840.0
CHEMBL351806,O=C(O)[C@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,800.0
CHEMBL158798,CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)O,1100.0
CHEMBL160667,O=C(O)c1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,8800.0
CHEMBL347658,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1,580.0
CHEMBL350674,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccc([N+](=O)[O-])cc2)s1,23.0
CHEMBL49411,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,240.0
CHEMBL100805,O=C(NO)C(CCn1c(=O)[nH]c2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,25.0
CHEMBL288750,CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nnn(-c3ccccc3)n2)cc1)C(=O)O,110.0
CHEMBL347847,O=C(O)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2nnn(-c3ccc(C4CCCCC4)cc3)n2)cc1,1320.0
CHEMBL160969,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2)cc1,16.0
CHEMBL323148,CN1C(=O)N(CCC(COc2ccc(-c3ccccc3)cc2)C(=O)NO)C(=O)C1(C)C,199.0
CHEMBL323371,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,1.0
CHEMBL346118,O=C(NO)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccc(-c2ccccc2)cc1,30.0
CHEMBL351110,O=C(Nc1ccccc1)c1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1,10000.0
CHEMBL160465,O=C(Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1)c1ccccc1,680.0
CHEMBL157289,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccccc2[N+](=O)[O-])s1,1500.0
CHEMBL348088,Cc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@H](Cc4ccccc4)C(=O)O)cc3)n2)cc1,86.0
CHEMBL38851,N#Cc1ccc(-c2ccc(OCCC(=O)NO)cc2)cc1,655.0
CHEMBL346920,O=C(NO)[C@@H](Cc1ccccc1)NS(=O)(=O)c1ccccc1,730.0
CHEMBL291194,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc2ccccc2c1,10000.0
CHEMBL160305,COc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3ccccc3)C(=O)O)s2)cc1,24.0
CHEMBL347138,COc1ccc(-n2nnc(-c3ccc(S(=O)(=O)N[C@H](Cc4c[nH]c5ccccc45)C(=O)O)cc3)n2)cc1,17.0
CHEMBL160245,CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1)C(=O)O,270.0
CHEMBL158674,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc2oc3ccccc3c2c1,10000.0
CHEMBL345200,Cc1ccc(-c2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,61.0
CHEMBL348335,COc1ccc(-c2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,40.0
CHEMBL157243,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccccc1,3400.0
CHEMBL317132,O=C(NO)C(CCn1nnc2ccccc2c1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,0.6
CHEMBL155848,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(Cc2ccccc2)cc1,10000.0
CHEMBL159229,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(/N=N/c2ccccc2)cc1,350.0
CHEMBL102459,O=C(NO)C(CCn1ncc2ccccc2c1=O)COc1ccc(-c2ccccc2)cc1,33.0
CHEMBL157363,O=C(O)[C@@H](Cc1c[nH]c2ccccc12)NS(=O)(=O)c1ccc(C#Cc2ccccc2)cc1,240.0
CHEMBL432882,CC(C)[C@@H](NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)NO,0.54
CHEMBL160712,O=C(Nc1ccccc1)Nc1ccc(S(=O)(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)O)cc1,10000.0
CHEMBL347612,Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@@H](C(=O)O)C(C)C)cc2)cc1,1200.0
CHEMBL155959,CC(C)[C@@H](NS(=O)(=O)c1ccc(NC(=O)c2ccccc2)cc1)C(=O)O,2100.0
CHEMBL19611,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C,0.2
CHEMBL59338,CCCCCCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)NC)C(C)(C)C,1.5
CHEMBL283580,O=C(NO)[C@H]1CN(Cc2ccc(Oc3ccc(F)cc3)cc2)C(=O)N1,62.0
CHEMBL279482,O=C1N[C@@H](C(=O)NO)C[C@H]1c1ccc(Oc2ccc(F)cc2)cc1,82.0
CHEMBL19855,O=C(NO)[C@H]1CN(Cc2ccc(Oc3ccc4ccccc4c3)cc2)C(=O)N1,56.0
CHEMBL275014,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)O)C(C)C)cc3)o2)cc1,1000.0
CHEMBL266612,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)CCC(=O)O)C(C)C)cc3)o2)cc1,10000.0
CHEMBL418715,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)O)C(C)C)cc3)s2)cc1,700.0
CHEMBL13965,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(CCC(=O)O)C(=O)O)cc3)s2)cc1,50.0
CHEMBL13826,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)NO)C(C)C)cc3)o2)cc1,1000.0
CHEMBL13974,COc1ccc(-c2cnc(-c3ccc(S(=O)(=O)NC(C(=O)NO)C(C)C)cc3)s2)cc1,900.0
CHEMBL13927,CNC(=O)[C@@H](CC(=O)[C@H](CC(C)C)[C@H](CSc1ccccc1)C(=O)NO)Cc1ccccc1,200.0
CHEMBL316298,CC#CCOc1ccc(S(=O)(=O)N(C)C(CSCc2cccnc2)C(=O)NO)cc1,14.0
CHEMBL75641,COc1ccc(S(=O)(=O)C(Cc2cccnc2)(CC(C)C)C(=O)NO)cc1,63.0
CHEMBL75925,CC(Cc1ccc(OCCN2CCCCC2)cc1)(C(=O)NO)S(=O)(=O)c1cccs1,79.0
CHEMBL2114153,COc1ccc(S(=O)(=O)[C@](C)(Cc2ccc(OCCN3CCCCC3)cc2)C(=O)NO)cc1,112.0
CHEMBL94715,CC#CCOc1ccc(S(=O)(=O)NCC(=O)NO)cc1,753.0
CHEMBL306635,COc1ccc(S(=O)(=O)C(C)(Cc2ccc(OCCN3CCCCCC3)cc2)C(=O)NO)cc1,19.0
CHEMBL94518,CC#CCSc1ccc(S(=O)(=O)N(C)CC(=O)NO)cc1,111.0
